asset_class,symbol,sector,quantity,value_usd,value_eur,pl_usd,pl_eur,pl_pct_usd,pl_pct_eur,impliedVol,delta,gamma,theta,vega,rho
Options Spread,AMD 20260116 125.0C/145.0C,Technology,5.0/-5.0,7894.63,6905.88,3894.63,3406.85,97.37,97.37,0.491607,0.908182,0.002766,-0.043957,0.20731,
Options Spread,ZETA 20260116 17.5C/25.0C,Technology,20.0/-20.0,3425.82,2996.76,-806.86,-705.81,-19.06,-19.06,0.747706,0.557473,0.047896,-0.010402,0.043575,
Stocks,ARKG,Unknown,12.0,291.65,255.12,-796.09,-696.39,-73.19,-73.19,,,,,,
Stocks,ARKQ,Unknown,2.0,195.89,171.36,34.23,29.94,21.17,21.17,,,,,,
Stocks,BTC,Unknown,379.6,19888.68,17397.76,17907.85,15665.01,904.06,904.06,,,,,,
Stocks,CRSP,"Consumer,",3.0,172.63,151.01,-214.83,-187.92,-55.45,-55.45,,,,,,
Stocks,DLR,Financial,9.0,1613.55,1411.46,412.28,360.64,34.32,34.32,,,,,,
Stocks,IAU,Unknown,20.0,1242.08,1086.52,521.38,456.08,72.34,72.34,,,,,,
Stocks,IBB,Unknown,1.0,135.03,118.12,-19.3,-16.88,-12.51,-12.51,,,,,,
Stocks,VNQ,Unknown,13.0,1169.53,1023.05,83.44,72.99,7.68,7.68,,,,,,
Stocks,VNQI,Unknown,23.0,1042.38,911.83,-189.83,-166.06,-15.41,-15.41,,,,,,


